'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:49:04.784',-,-0.040,-,91.200,54.800
'47:49:04.792',-,0.000,-,86.400,53.200
'47:49:04.800',-,0.040,-,81.600,50.800
'47:49:04.808',-,0.040,-,76.800,48.000
'47:49:04.816',-,0.056,-,72.000,45.200
'47:49:04.824',-,0.056,-,67.200,42.000
'47:49:04.832',-,0.080,-,63.200,39.200
'47:49:04.840',-,0.080,-,58.400,36.400
'47:49:04.848',-,0.080,-,55.200,34.800
'47:49:04.856',-,0.080,-,51.200,33.200
'47:49:04.864',-,0.080,-,48.000,32.000
'47:49:04.872',-,0.080,-,45.600,30.400
'47:49:04.880',-,0.096,-,43.200,29.200
'47:49:04.888',-,0.136,-,41.600,28.400
'47:49:04.896',-,0.240,-,40.000,28.400
'47:49:04.904',-,0.360,-,39.200,28.800
'47:49:04.912',-,0.504,-,39.200,29.600
'47:49:04.920',-,0.608,-,38.400,30.000
'47:49:04.928',-,0.632,-,38.400,30.800
'47:49:04.936',-,0.568,-,38.400,31.200
'47:49:04.944',-,0.360,-,38.400,31.600
'47:49:04.952',-,0.136,-,38.400,31.600
'47:49:04.960',-,0.000,-,38.400,31.600
'47:49:04.968',-,-0.056,-,39.200,31.600
'47:49:04.976',-,-0.096,-,40.000,32.400
'47:49:04.984',-,-0.096,-,40.800,33.200
'47:49:04.992',-,-0.080,-,41.600,34.000
'47:49:05.000',-,-0.056,-,42.400,34.000
'47:49:05.008',-,-0.056,-,43.200,33.200
'47:49:05.016',-,-0.056,-,44.000,32.400
'47:49:05.024',-,-0.056,-,46.400,31.200
'47:49:05.032',-,-0.056,-,50.400,30.400
'47:49:05.040',-,-0.080,-,58.400,29.600
'47:49:05.048',-,-0.080,-,70.400,29.200
'47:49:05.056',-,-0.080,-,84.000,30.000
'47:49:05.064',-,-0.096,-,98.400,31.200
'47:49:05.072',-,-0.096,-,109.600,33.200
'47:49:05.080',-,-0.136,-,117.600,35.600
'47:49:05.088',-,-0.160,-,122.400,38.400
'47:49:05.096',-,-0.176,-,124.000,42.000
'47:49:05.104',-,-0.200,-,124.800,45.600
'47:49:05.112',-,-0.224,-,123.200,49.200
'47:49:05.120',-,-0.240,-,120.800,52.400
'47:49:05.128',-,-0.240,-,117.600,55.200
'47:49:05.136',-,-0.224,-,113.600,57.600
'47:49:05.144',-,-0.176,-,109.600,59.200
'47:49:05.152',-,-0.160,-,104.800,60.000
'47:49:05.160',-,-0.120,-,100.800,59.600
'47:49:05.168',-,-0.056,-,96.000,58.800
'47:49:05.176',-,-0.016,-,91.200,57.600
'47:49:05.184',-,0.016,-,86.400,55.600
'47:49:05.192',-,0.040,-,80.800,53.200
'47:49:05.200',-,0.040,-,76.000,50.800
'47:49:05.208',-,0.056,-,71.200,48.000
'47:49:05.216',-,0.056,-,66.400,45.200
'47:49:05.224',-,0.056,-,62.400,42.400
'47:49:05.232',-,0.056,-,58.400,40.400
'47:49:05.240',-,0.080,-,54.400,38.400
'47:49:05.248',-,0.080,-,51.200,37.200
'47:49:05.256',-,0.080,-,48.000,36.000
'47:49:05.264',-,0.056,-,45.600,35.200
'47:49:05.272',-,0.080,-,44.000,34.400
'47:49:05.280',-,0.136,-,42.400,34.400
'47:49:05.288',-,0.240,-,41.600,34.800
'47:49:05.296',-,0.360,-,40.800,35.200
'47:49:05.304',-,0.504,-,40.800,36.000
'47:49:05.312',-,0.584,-,40.800,36.400
'47:49:05.320',-,0.608,-,40.800,37.200
'47:49:05.328',-,0.544,-,40.800,37.600
'47:49:05.336',-,0.360,-,40.800,37.600
'47:49:05.344',-,0.120,-,40.800,37.200
'47:49:05.352',-,0.000,-,41.600,36.800
'47:49:05.360',-,-0.080,-,42.400,36.400
'47:49:05.368',-,-0.096,-,42.400,36.000
'47:49:05.376',-,-0.096,-,43.200,36.400
'47:49:05.384',-,-0.080,-,44.000,36.800
'47:49:05.392',-,-0.080,-,44.800,37.600
'47:49:05.400',-,-0.056,-,45.600,37.600
'47:49:05.408',-,-0.056,-,46.400,37.600
'47:49:05.416',-,-0.080,-,49.600,37.600
'47:49:05.424',-,-0.080,-,53.600,37.600
'47:49:05.432',-,-0.080,-,62.400,37.600
'47:49:05.440',-,-0.096,-,73.600,37.600
'47:49:05.448',-,-0.120,-,88.000,37.200
'47:49:05.456',-,-0.120,-,101.600,37.200
'47:49:05.464',-,-0.136,-,113.600,36.800
'47:49:05.472',-,-0.136,-,121.600,36.800
'47:49:05.480',-,-0.176,-,126.400,37.600
'47:49:05.488',-,-0.200,-,128.800,39.200
'47:49:05.496',-,-0.224,-,128.800,41.600
'47:49:05.504',-,-0.240,-,127.200,44.000
'47:49:05.512',-,-0.240,-,124.000,46.800
'47:49:05.520',-,-0.240,-,120.800,50.000
'47:49:05.528',-,-0.240,-,116.800,52.800
'47:49:05.536',-,-0.200,-,112.000,55.200
'47:49:05.544',-,-0.176,-,107.200,57.200
'47:49:05.552',-,-0.136,-,102.400,58.800
'47:49:05.560',-,-0.080,-,97.600,59.200
'47:49:05.568',-,-0.040,-,92.800,58.800
'47:49:05.576',-,-0.016,-,88.000,57.600
'47:49:05.584',-,0.000,-,83.200,55.600
'47:49:05.592',-,0.016,-,78.400,53.200
'47:49:05.600',-,0.016,-,73.600,50.400
'47:49:05.608',-,0.016,-,68.800,48.000
'47:49:05.616',-,0.016,-,64.000,46.000
'47:49:05.624',-,0.040,-,60.000,44.000
'47:49:05.632',-,0.040,-,56.800,42.400
'47:49:05.640',-,0.040,-,53.600,40.800
'47:49:05.648',-,0.040,-,50.400,39.600
'47:49:05.656',-,0.040,-,48.000,38.800
'47:49:05.664',-,0.040,-,46.400,38.400
'47:49:05.672',-,0.080,-,44.800,38.800
'47:49:05.680',-,0.160,-,44.000,39.200
'47:49:05.688',-,0.280,-,42.400,40.000
'47:49:05.696',-,0.424,-,42.400,40.400
'47:49:05.704',-,0.528,-,42.400,40.800
'47:49:05.712',-,0.568,-,42.400,41.200
'47:49:05.720',-,0.544,-,42.400,41.200
'47:49:05.728',-,0.360,-,43.200,40.800
'47:49:05.736',-,0.136,-,43.200,40.400
'47:49:05.744',-,-0.016,-,43.200,39.600
'47:49:05.752',-,-0.080,-,44.000,38.800
'47:49:05.760',-,-0.120,-,44.000,38.000
'47:49:05.768',-,-0.120,-,44.800,38.000
'47:49:05.776',-,-0.120,-,45.600,38.000
'47:49:05.784',-,-0.096,-,45.600,37.600
'47:49:05.792',-,-0.096,-,46.400,37.600
'47:49:05.800',-,-0.096,-,48.000,37.200
'47:49:05.808',-,-0.096,-,50.400,37.200
'47:49:05.816',-,-0.120,-,56.000,37.600
'47:49:05.824',-,-0.120,-,64.000,38.000
'47:49:05.832',-,-0.120,-,76.000,38.000
'47:49:05.840',-,-0.120,-,89.600,37.200
'47:49:05.848',-,-0.120,-,104.000,36.000
'47:49:05.856',-,-0.136,-,115.200,35.600
'47:49:05.864',-,-0.136,-,124.000,35.600
'47:49:05.872',-,-0.160,-,128.800,36.800
'47:49:05.880',-,-0.176,-,131.200,38.400
'47:49:05.888',-,-0.200,-,131.200,40.400
'47:49:05.896',-,-0.224,-,130.400,43.200
'47:49:05.904',-,-0.240,-,128.000,46.000
'47:49:05.912',-,-0.240,-,124.000,48.800
'47:49:05.920',-,-0.240,-,120.000,51.600
'47:49:05.928',-,-0.200,-,116.000,54.000
'47:49:05.936',-,-0.176,-,111.200,56.000
'47:49:05.944',-,-0.136,-,106.400,57.600
'47:49:05.952',-,-0.096,-,101.600,58.400
'47:49:05.960',-,-0.056,-,96.800,58.400
'47:49:05.968',-,-0.016,-,92.000,57.200
'47:49:05.976',-,0.000,-,87.200,55.200
'47:49:05.984',-,0.016,-,82.400,52.400
'47:49:05.992',-,0.016,-,77.600,49.600
'47:49:06.000',-,0.016,-,72.800,47.200
'47:49:06.008',-,0.040,-,68.000,45.200
'47:49:06.016',-,0.040,-,64.000,43.200
'47:49:06.024',-,0.040,-,60.000,41.600
'47:49:06.032',-,0.040,-,56.800,40.400
'47:49:06.040',-,0.040,-,53.600,39.200
'47:49:06.048',-,0.040,-,50.400,38.400
'47:49:06.056',-,0.040,-,48.000,38.000
'47:49:06.064',-,0.056,-,46.400,38.000
'47:49:06.072',-,0.120,-,44.800,38.000
'47:49:06.080',-,0.240,-,44.000,38.400
'47:49:06.088',-,0.360,-,42.400,38.400
'47:49:06.096',-,0.504,-,42.400,38.800
'47:49:06.104',-,0.568,-,42.400,39.200
'47:49:06.112',-,0.584,-,42.400,39.200
'47:49:06.120',-,0.448,-,42.400,39.200
'47:49:06.128',-,0.224,-,43.200,38.800
'47:49:06.136',-,0.040,-,43.200,38.400
'47:49:06.144',-,-0.040,-,43.200,38.000
'47:49:06.152',-,-0.096,-,44.000,37.600
'47:49:06.160',-,-0.096,-,44.000,37.200
'47:49:06.168',-,-0.096,-,44.800,37.600
'47:49:06.176',-,-0.080,-,45.600,37.600
'47:49:06.184',-,-0.080,-,46.400,37.200
'47:49:06.192',-,-0.080,-,48.000,36.800
'47:49:06.200',-,-0.080,-,50.400,36.400
'47:49:06.208',-,-0.080,-,55.200,36.400
'47:49:06.216',-,-0.080,-,62.400,36.400
'47:49:06.224',-,-0.096,-,73.600,36.400
'47:49:06.232',-,-0.096,-,88.000,35.600
'47:49:06.240',-,-0.096,-,101.600,34.400
'47:49:06.248',-,-0.120,-,114.400,33.600
'47:49:06.256',-,-0.136,-,123.200,34.000
'47:49:06.264',-,-0.160,-,129.600,35.200
'47:49:06.272',-,-0.176,-,132.000,36.800
'47:49:06.280',-,-0.200,-,132.000,38.800
'47:49:06.288',-,-0.224,-,131.200,41.200
'47:49:06.296',-,-0.240,-,128.000,44.000
'47:49:06.304',-,-0.240,-,124.800,46.800
'47:49:06.312',-,-0.224,-,120.800,49.600
'47:49:06.320',-,-0.224,-,116.800,52.400
'47:49:06.328',-,-0.176,-,112.000,54.400
'47:49:06.336',-,-0.160,-,107.200,56.000
'47:49:06.344',-,-0.120,-,102.400,57.200
'47:49:06.352',-,-0.080,-,97.600,57.200
'47:49:06.360',-,-0.040,-,92.800,56.800
'47:49:06.368',-,0.000,-,88.000,54.800
'47:49:06.376',-,0.016,-,83.200,52.400
'47:49:06.384',-,0.016,-,78.400,49.600
'47:49:06.392',-,0.016,-,73.600,46.800
'47:49:06.400',-,0.040,-,69.600,44.400
'47:49:06.408',-,0.040,-,65.600,42.400
'47:49:06.416',-,0.040,-,61.600,40.800
'47:49:06.424',-,0.056,-,57.600,39.200
'47:49:06.432',-,0.056,-,54.400,38.000
'47:49:06.440',-,0.056,-,52.000,37.200
'47:49:06.448',-,0.040,-,49.600,36.800
'47:49:06.456',-,0.056,-,47.200,36.800
'47:49:06.464',-,0.096,-,45.600,36.800
'47:49:06.472',-,0.200,-,44.000,37.200
'47:49:06.480',-,0.320,-,43.200,37.600
'47:49:06.488',-,0.448,-,42.400,38.000
'47:49:06.496',-,0.544,-,42.400,38.400
'47:49:06.504',-,0.584,-,42.400,38.400
'47:49:06.512',-,0.528,-,42.400,38.400
'47:49:06.520',-,0.344,-,43.200,38.400
'47:49:06.528',-,0.136,-,43.200,38.000
'47:49:06.536',-,0.000,-,43.200,37.600
'47:49:06.544',-,-0.056,-,43.200,37.200
'47:49:06.552',-,-0.080,-,44.000,37.200
'47:49:06.560',-,-0.096,-,44.800,37.200
'47:49:06.568',-,-0.080,-,45.600,37.600
'47:49:06.576',-,-0.056,-,46.400,37.200
'47:49:06.584',-,-0.056,-,47.200,36.400
'47:49:06.592',-,-0.056,-,48.800,36.000
'47:49:06.600',-,-0.056,-,52.800,35.600
'47:49:06.608',-,-0.080,-,59.200,35.600
'47:49:06.616',-,-0.080,-,68.800,35.600
'47:49:06.624',-,-0.080,-,81.600,34.800
'47:49:06.632',-,-0.080,-,96.000,34.000
'47:49:06.640',-,-0.096,-,108.800,33.200
'47:49:06.648',-,-0.120,-,120.000,33.600
'47:49:06.656',-,-0.136,-,127.200,34.800
'47:49:06.664',-,-0.160,-,131.200,36.400
'47:49:06.672',-,-0.176,-,132.800,38.800
'47:49:06.680',-,-0.200,-,132.000,41.200
'47:49:06.688',-,-0.224,-,130.400,44.400
'47:49:06.696',-,-0.224,-,127.200,47.200
'47:49:06.704',-,-0.224,-,123.200,50.400
'47:49:06.712',-,-0.200,-,118.400,53.200
'47:49:06.720',-,-0.176,-,114.400,55.600
'47:49:06.728',-,-0.160,-,109.600,57.200
'47:49:06.736',-,-0.136,-,104.800,58.400
'47:49:06.744',-,-0.096,-,100.000,58.800
'47:49:06.752',-,-0.056,-,95.200,58.400
'47:49:06.760',-,-0.016,-,90.400,57.200
'47:49:06.768',-,0.016,-,85.600,54.800
'47:49:06.776',-,0.016,-,80.800,51.600
'47:49:06.784',-,0.040,-,76.000,48.400
'47:49:06.792',-,0.040,-,72.000,46.000
'47:49:06.800',-,0.040,-,67.200,43.600
'47:49:06.808',-,0.040,-,63.200,42.000
'47:49:06.816',-,0.056,-,60.000,40.000
'47:49:06.824',-,0.056,-,56.000,38.800
'47:49:06.832',-,0.056,-,53.600,38.000
'47:49:06.840',-,0.056,-,50.400,37.200
'47:49:06.848',-,0.056,-,48.800,37.200
'47:49:06.856',-,0.080,-,46.400,37.200
'47:49:06.864',-,0.136,-,44.800,37.600
'47:49:06.872',-,0.240,-,44.000,38.000
'47:49:06.880',-,0.384,-,43.200,38.400
'47:49:06.888',-,0.504,-,42.400,38.400
'47:49:06.896',-,0.584,-,42.400,38.800
'47:49:06.904',-,0.608,-,42.400,38.800
'47:49:06.912',-,0.464,-,43.200,38.800
'47:49:06.920',-,0.264,-,43.200,38.400
'47:49:06.928',-,0.056,-,43.200,38.000
'47:49:06.936',-,-0.040,-,44.000,37.600
'47:49:06.944',-,-0.080,-,44.000,37.200
'47:49:06.952',-,-0.080,-,44.800,37.600
'47:49:06.960',-,-0.080,-,44.800,37.600
'47:49:06.968',-,-0.080,-,45.600,38.000
'47:49:06.976',-,-0.056,-,46.400,37.600
'47:49:06.984',-,-0.056,-,48.000,36.800
'47:49:06.992',-,-0.056,-,50.400,36.400
'47:49:07.000',-,-0.080,-,54.400,36.000
'47:49:07.008',-,-0.080,-,62.400,36.000
'47:49:07.016',-,-0.080,-,72.800,35.200
'47:49:07.024',-,-0.080,-,86.400,34.400
'47:49:07.032',-,-0.096,-,100.800,33.600
'47:49:07.040',-,-0.120,-,113.600,33.200
'47:49:07.048',-,-0.120,-,123.200,33.600
'47:49:07.056',-,-0.136,-,128.800,35.200
'47:49:07.064',-,-0.160,-,132.000,36.800
'47:49:07.072',-,-0.176,-,132.000,39.200
'47:49:07.080',-,-0.200,-,130.400,42.000
'47:49:07.088',-,-0.224,-,128.000,44.800
'47:49:07.096',-,-0.224,-,124.800,48.000
'47:49:07.104',-,-0.224,-,120.800,50.800
'47:49:07.112',-,-0.200,-,116.000,53.600
'47:49:07.120',-,-0.176,-,112.000,55.600
'47:49:07.128',-,-0.136,-,107.200,57.200
'47:49:07.136',-,-0.120,-,102.400,58.000
'47:49:07.144',-,-0.080,-,97.600,58.000
'47:49:07.152',-,-0.040,-,92.800,57.200
'47:49:07.160',-,0.000,-,88.000,55.600
'47:49:07.168',-,0.016,-,83.200,52.800
'47:49:07.176',-,0.016,-,78.400,49.600
'47:49:07.184',-,0.040,-,73.600,46.800
'47:49:07.192',-,0.040,-,69.600,44.400
'47:49:07.200',-,0.040,-,64.800,42.400
'47:49:07.208',-,0.056,-,60.800,40.400
'47:49:07.216',-,0.056,-,57.600,39.200
'47:49:07.224',-,0.056,-,54.400,38.000
