'Elapsed time','I','II','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'47:49:12.128',-,-0.040,-,38.400,32.400
'47:49:12.136',-,-0.096,-,38.400,32.800
'47:49:12.144',-,-0.120,-,38.400,33.600
'47:49:12.152',-,-0.120,-,38.400,34.800
'47:49:12.160',-,-0.120,-,38.400,35.600
'47:49:12.168',-,-0.096,-,38.400,36.000
'47:49:12.176',-,-0.096,-,38.400,36.400
'47:49:12.184',-,-0.080,-,39.200,36.400
'47:49:12.192',-,-0.080,-,41.600,36.000
'47:49:12.200',-,-0.056,-,44.800,35.600
'47:49:12.208',-,-0.056,-,50.400,35.600
'47:49:12.216',-,-0.080,-,59.200,35.600
'47:49:12.224',-,-0.080,-,70.400,36.400
'47:49:12.232',-,-0.080,-,83.200,37.600
'47:49:12.240',-,-0.080,-,95.200,40.000
'47:49:12.248',-,-0.080,-,104.800,42.800
'47:49:12.256',-,-0.096,-,112.000,46.400
'47:49:12.264',-,-0.120,-,116.800,50.000
'47:49:12.272',-,-0.136,-,119.200,53.600
'47:49:12.280',-,-0.136,-,120.000,56.800
'47:49:12.288',-,-0.160,-,120.000,60.000
'47:49:12.296',-,-0.160,-,118.400,62.400
'47:49:12.304',-,-0.160,-,116.000,64.000
'47:49:12.312',-,-0.136,-,112.800,65.200
'47:49:12.320',-,-0.120,-,108.800,65.600
'47:49:12.328',-,-0.096,-,104.800,65.600
'47:49:12.336',-,-0.056,-,100.800,65.200
'47:49:12.344',-,-0.040,-,96.800,64.000
'47:49:12.352',-,-0.016,-,92.000,62.400
'47:49:12.360',-,0.000,-,88.000,60.400
'47:49:12.368',-,0.000,-,83.200,58.000
'47:49:12.376',-,0.016,-,78.400,55.600
'47:49:12.384',-,0.016,-,73.600,52.800
'47:49:12.392',-,0.016,-,68.800,50.400
'47:49:12.400',-,0.040,-,64.000,47.600
'47:49:12.408',-,0.056,-,60.000,45.600
'47:49:12.416',-,0.056,-,56.800,44.000
'47:49:12.424',-,0.080,-,53.600,42.400
'47:49:12.432',-,0.080,-,50.400,41.600
'47:49:12.440',-,0.080,-,48.800,40.800
'47:49:12.448',-,0.056,-,46.400,40.400
'47:49:12.456',-,0.056,-,45.600,40.400
'47:49:12.464',-,0.040,-,44.800,40.400
'47:49:12.472',-,0.040,-,44.000,41.200
'47:49:12.480',-,0.016,-,44.000,42.000
'47:49:12.488',-,0.016,-,44.000,42.800
'47:49:12.496',-,0.016,-,44.800,43.200
'47:49:12.504',-,0.016,-,44.800,43.200
'47:49:12.512',-,0.016,-,45.600,42.800
'47:49:12.520',-,0.000,-,45.600,42.400
'47:49:12.528',-,0.000,-,46.400,41.600
'47:49:12.536',-,0.000,-,46.400,40.800
'47:49:12.544',-,0.000,-,46.400,40.000
'47:49:12.552',-,0.000,-,45.600,38.800
'47:49:12.560',-,0.000,-,45.600,38.000
'47:49:12.568',-,0.000,-,45.600,37.200
'47:49:12.576',-,0.000,-,45.600,36.800
'47:49:12.584',-,0.016,-,44.800,36.000
'47:49:12.592',-,0.080,-,44.000,35.600
'47:49:12.600',-,0.176,-,44.000,35.600
'47:49:12.608',-,0.320,-,43.200,35.600
'47:49:12.616',-,0.424,-,42.400,36.000
'47:49:12.624',-,0.488,-,42.400,36.000
'47:49:12.632',-,0.448,-,41.600,36.400
'47:49:12.640',-,0.280,-,41.600,36.400
'47:49:12.648',-,0.080,-,41.600,36.800
'47:49:12.656',-,-0.056,-,41.600,36.800
'47:49:12.664',-,-0.120,-,40.800,36.800
'47:49:12.672',-,-0.160,-,40.800,37.200
'47:49:12.680',-,-0.160,-,40.800,37.600
'47:49:12.688',-,-0.136,-,40.800,38.000
'47:49:12.696',-,-0.136,-,40.800,38.800
'47:49:12.704',-,-0.120,-,40.800,39.600
'47:49:12.712',-,-0.120,-,41.600,40.400
'47:49:12.720',-,-0.120,-,43.200,40.800
'47:49:12.728',-,-0.096,-,45.600,41.200
'47:49:12.736',-,-0.096,-,51.200,41.200
'47:49:12.744',-,-0.120,-,58.400,40.400
'47:49:12.752',-,-0.120,-,68.800,39.600
'47:49:12.760',-,-0.120,-,80.800,39.200
'47:49:12.768',-,-0.120,-,92.800,39.200
'47:49:12.776',-,-0.120,-,104.000,40.400
'47:49:12.784',-,-0.136,-,112.000,42.400
'47:49:12.792',-,-0.136,-,118.400,44.800
'47:49:12.800',-,-0.160,-,121.600,48.000
'47:49:12.808',-,-0.160,-,123.200,51.200
'47:49:12.816',-,-0.176,-,122.400,54.800
'47:49:12.824',-,-0.176,-,120.800,58.000
'47:49:12.832',-,-0.176,-,118.400,60.400
'47:49:12.840',-,-0.160,-,114.400,62.800
'47:49:12.848',-,-0.136,-,111.200,64.000
'47:49:12.856',-,-0.120,-,107.200,64.800
'47:49:12.864',-,-0.096,-,102.400,64.800
'47:49:12.872',-,-0.056,-,98.400,64.000
'47:49:12.880',-,-0.040,-,94.400,62.400
'47:49:12.888',-,-0.040,-,89.600,60.400
'47:49:12.896',-,-0.016,-,84.800,57.200
'47:49:12.904',-,0.000,-,80.000,54.400
'47:49:12.912',-,0.000,-,75.200,51.600
'47:49:12.920',-,0.016,-,70.400,49.600
'47:49:12.928',-,0.040,-,66.400,47.200
'47:49:12.936',-,0.040,-,61.600,45.200
'47:49:12.944',-,0.056,-,57.600,43.200
'47:49:12.952',-,0.056,-,54.400,42.000
'47:49:12.960',-,0.080,-,51.200,40.800
'47:49:12.968',-,0.056,-,48.800,40.000
'47:49:12.976',-,0.056,-,47.200,40.000
'47:49:12.984',-,0.056,-,45.600,40.400
'47:49:12.992',-,0.040,-,44.800,41.200
'47:49:13.000',-,0.040,-,44.000,42.400
'47:49:13.008',-,0.040,-,43.200,43.200
'47:49:13.016',-,0.040,-,43.200,43.600
'47:49:13.024',-,0.016,-,43.200,43.600
'47:49:13.032',-,0.016,-,44.000,43.600
'47:49:13.040',-,0.016,-,44.000,43.200
'47:49:13.048',-,0.016,-,44.800,42.400
'47:49:13.056',-,0.016,-,44.800,41.600
'47:49:13.064',-,0.016,-,45.600,40.400
'47:49:13.072',-,0.016,-,45.600,39.600
'47:49:13.080',-,0.016,-,45.600,38.800
'47:49:13.088',-,0.016,-,45.600,38.000
'47:49:13.096',-,0.016,-,45.600,36.800
'47:49:13.104',-,0.040,-,44.800,36.000
'47:49:13.112',-,0.096,-,44.800,35.600
'47:49:13.120',-,0.200,-,44.000,35.200
'47:49:13.128',-,0.320,-,44.000,34.800
'47:49:13.136',-,0.448,-,44.000,34.800
'47:49:13.144',-,0.504,-,43.200,34.800
'47:49:13.152',-,0.464,-,43.200,35.200
'47:49:13.160',-,0.304,-,43.200,35.200
'47:49:13.168',-,0.096,-,42.400,35.200
'47:49:13.176',-,-0.040,-,42.400,35.200
'47:49:13.184',-,-0.096,-,42.400,35.600
'47:49:13.192',-,-0.120,-,42.400,35.600
'47:49:13.200',-,-0.120,-,41.600,36.400
'47:49:13.208',-,-0.096,-,41.600,37.200
'47:49:13.216',-,-0.096,-,41.600,37.600
'47:49:13.224',-,-0.096,-,41.600,38.400
'47:49:13.232',-,-0.096,-,42.400,39.200
'47:49:13.240',-,-0.080,-,44.000,40.000
'47:49:13.248',-,-0.080,-,46.400,40.400
'47:49:13.256',-,-0.080,-,51.200,40.400
'47:49:13.264',-,-0.080,-,59.200,39.600
'47:49:13.272',-,-0.080,-,68.800,38.400
'47:49:13.280',-,-0.080,-,80.800,38.000
'47:49:13.288',-,-0.096,-,92.800,37.600
'47:49:13.296',-,-0.096,-,103.200,38.800
'47:49:13.304',-,-0.096,-,111.200,40.400
'47:49:13.312',-,-0.120,-,117.600,42.400
'47:49:13.320',-,-0.120,-,121.600,45.200
'47:49:13.328',-,-0.136,-,122.400,48.400
'47:49:13.336',-,-0.160,-,122.400,52.000
'47:49:13.344',-,-0.160,-,120.800,55.200
'47:49:13.352',-,-0.160,-,117.600,58.000
'47:49:13.360',-,-0.136,-,114.400,60.400
'47:49:13.368',-,-0.120,-,110.400,62.000
'47:49:13.376',-,-0.096,-,106.400,63.200
'47:49:13.384',-,-0.080,-,102.400,63.200
'47:49:13.392',-,-0.040,-,97.600,62.400
'47:49:13.400',-,-0.016,-,93.600,60.800
'47:49:13.408',-,0.000,-,88.800,58.800
'47:49:13.416',-,0.000,-,84.000,55.600
'47:49:13.424',-,0.016,-,79.200,52.800
'47:49:13.432',-,0.016,-,74.400,50.400
'47:49:13.440',-,0.040,-,69.600,48.000
