'Elapsed time','I','II','III','AVR','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'25:42.224',-,-,-,-,-,-,-0.080,0.000,82.800,-
'25:42.232',-,-,-,-,-,-,-0.120,-0.064,84.000,-
'25:42.240',-,-,-,-,-,-,-0.104,-0.136,84.000,-
'25:42.248',-,-,-,-,-,-,-0.104,-0.040,82.800,-
'25:42.256',-,-,-,-,-,-,-0.120,-0.112,82.800,-
'25:42.264',-,-,-,-,-,-,-0.144,-0.136,81.600,-
'25:42.272',-,-,-,-,-,-,-0.120,-0.088,80.400,-
'25:42.280',-,-,-,-,-,-,-0.120,-0.040,80.400,-
'25:42.288',-,-,-,-,-,-,-0.104,-0.064,79.200,-
'25:42.296',-,-,-,-,-,-,-0.120,-0.040,79.200,-
'25:42.304',-,-,-,-,-,-,-0.056,-0.112,78.000,-
'25:42.312',-,-,-,-,-,-,0.040,0.064,76.800,-
'25:42.320',-,-,-,-,-,-,-0.056,0.136,76.800,-
'25:42.328',-,-,-,-,-,-,-0.400,-0.064,75.600,-
'25:42.336',-,-,-,-,-,-,-0.784,-0.504,74.400,-
'25:42.344',-,-,-,-,-,-,-0.912,-0.952,74.400,-
'25:42.352',-,-,-,-,-,-,-0.760,-0.976,73.200,-
'25:42.360',-,-,-,-,-,-,-0.592,-0.600,72.000,-
'25:42.368',-,-,-,-,-,-,-0.504,-0.464,72.000,-
'25:42.376',-,-,-,-,-,-,-0.440,-0.416,70.800,-
'25:42.384',-,-,-,-,-,-,-0.376,-0.320,70.800,-
'25:42.392',-,-,-,-,-,-,-0.336,-0.248,72.000,-
'25:42.400',-,-,-,-,-,-,-0.296,-0.248,73.200,-
'25:42.408',-,-,-,-,-,-,-0.296,-0.208,73.200,-
'25:42.416',-,-,-,-,-,-,-0.272,-0.248,74.400,-
'25:42.424',-,-,-,-,-,-,-0.232,-0.248,75.600,-
'25:42.432',-,-,-,-,-,-,-0.184,-0.160,79.200,-
'25:42.440',-,-,-,-,-,-,-0.184,-0.136,82.800,-
'25:42.448',-,-,-,-,-,-,-0.168,-0.160,87.600,-
'25:42.456',-,-,-,-,-,-,-0.168,-0.136,91.200,-
'25:42.464',-,-,-,-,-,-,-0.120,-0.160,92.400,-
'25:42.472',-,-,-,-,-,-,-0.104,-0.112,93.600,-
'25:42.480',-,-,-,-,-,-,-0.080,-0.112,94.800,-
'25:42.488',-,-,-,-,-,-,-0.040,-0.112,96.000,-
'25:42.496',-,-,-,-,-,-,0.040,-0.040,97.200,-
'25:42.504',-,-,-,-,-,-,0.144,0.040,97.200,-
'25:42.512',-,-,-,-,-,-,0.232,0.136,96.000,-
'25:42.520',-,-,-,-,-,-,0.296,0.232,96.000,-
'25:42.528',-,-,-,-,-,-,0.336,0.248,94.800,-
'25:42.536',-,-,-,-,-,-,0.376,0.296,94.800,-
'25:42.544',-,-,-,-,-,-,0.400,0.320,93.600,-
'25:42.552',-,-,-,-,-,-,0.440,0.392,92.400,-
'25:42.560',-,-,-,-,-,-,0.464,0.368,91.200,-
'25:42.568',-,-,-,-,-,-,0.424,0.392,90.000,-
'25:42.576',-,-,-,-,-,-,0.336,0.344,87.600,-
'25:42.584',-,-,-,-,-,-,0.248,0.248,85.200,-
'25:42.592',-,-,-,-,-,-,0.184,0.136,82.800,-
'25:42.600',-,-,-,-,-,-,0.144,0.064,80.400,-
'25:42.608',-,-,-,-,-,-,0.104,0.040,79.200,-
'25:42.616',-,-,-,-,-,-,0.040,0.000,78.000,-
'25:42.624',-,-,-,-,-,-,0.000,-0.040,76.800,-
'25:42.632',-,-,-,-,-,-,-0.040,-0.088,76.800,-
'25:42.640',-,-,-,-,-,-,-0.040,-0.112,75.600,-
'25:42.648',-,-,-,-,-,-,-0.040,-0.112,74.400,-
'25:42.656',-,-,-,-,-,-,-0.040,-0.064,73.200,-
'25:42.664',-,-,-,-,-,-,-0.080,-0.112,73.200,-
'25:42.672',-,-,-,-,-,-,-0.080,-0.136,72.000,-
'25:42.680',-,-,-,-,-,-,-0.080,-0.136,72.000,-
'25:42.688',-,-,-,-,-,-,-0.040,-0.112,70.800,-
'25:42.696',-,-,-,-,-,-,-0.040,-0.112,70.800,-
'25:42.704',-,-,-,-,-,-,-0.080,-0.112,70.800,-
'25:42.712',-,-,-,-,-,-,-0.104,-0.112,69.600,-
'25:42.720',-,-,-,-,-,-,-0.120,-0.160,69.600,-
'25:42.728',-,-,-,-,-,-,-0.104,-0.208,69.600,-
'25:42.736',-,-,-,-,-,-,-0.104,-0.160,69.600,-
'25:42.744',-,-,-,-,-,-,-0.104,-0.184,68.400,-
'25:42.752',-,-,-,-,-,-,-0.104,-0.112,68.400,-
'25:42.760',-,-,-,-,-,-,-0.104,-0.160,68.400,-
'25:42.768',-,-,-,-,-,-,-0.104,-0.136,68.400,-
'25:42.776',-,-,-,-,-,-,-0.080,-0.184,67.200,-
'25:42.784',-,-,-,-,-,-,-0.056,-0.208,67.200,-
'25:42.792',-,-,-,-,-,-,-0.104,-0.136,67.200,-
'25:42.800',-,-,-,-,-,-,-0.144,-0.112,66.000,-
'25:42.808',-,-,-,-,-,-,-0.144,-0.208,66.000,-
'25:42.816',-,-,-,-,-,-,-0.144,-0.208,66.000,-
'25:42.824',-,-,-,-,-,-,-0.120,-0.160,66.000,-
'25:42.832',-,-,-,-,-,-,-0.104,-0.160,66.000,-
